타임스탬프	분류	핵심 요약	담당자	마감일	우선순위	상태	원문 맥락
2026-09-14 09:00	[결정]	개장일 확정 — 11월 중 목표일 지정	성현	2026-09-18	HIGH	대기	전 일정이 개장일 역산으로 짜여 있어 이것부터 고정해야 함. 운영담당 마일스톤 보너스(개장일 달성 100만원) 기준일이기도 함
2026-09-14 09:00	[결정]	입장요금표 확정 (2시간 기준, 지역주민 감면 포함)	성현	2026-09-30	HIGH	대기	계획서 Ⅵ은 예시안. 특약 제5조상 공익상 요금 제한 가능 → 확정 전 군청 사전협의 권장
2026-09-14 09:00	[결정]	운영시간·휴무일 확정	성현	2026-09-30	HIGH	대기	네이버 플레이스 등록과 예약 오픈이 이 값에 걸려 있음
2026-09-14 09:00	[결정]	매표 POS 렌탈 vs 구매 선택	성현	2026-09-20	HIGH	대기	견적 비교 후 발주. 지연 담당 발주 일정이 여기에 묶임
2026-09-14 09:00	[결정]	영업배상책임보험 한도·가입사 확정	성현	2026-09-25	HIGH	대기	계획서 가정치 연 400만원. 짚코스터 리스크 감안해 한도 상향 검토 필요 — 계약체결 전 가입 완료가 원칙
2026-09-14 09:00	[결정]	운영담당(20대 경력자) 채용 확정	성현	2026-10-10	HIGH	대기	Ⅷ 보상체계 3층 구조와 근로계약 부속합의를 함께 제시하기로 한 건
2026-09-14 09:00	[결정]	안전요원 2인 채용 확정 및 배치 기준 승인	성현	2026-10-15	HIGH	대기	자체 기준 '기구 1종당 1명 이상'. 계약 의무는 아니지만 사고 시 무한책임 구조라 예외 없이 적용
2026-09-14 09:00	[결정]	네이버 예약 도입 여부 및 사전예약 오픈 시점	성현	2026-10-05	MEDIUM	대기	도입 시 요금·운영시간 확정이 선행되어야 함
2026-09-14 09:00	[결정]	지역 농특산물 매점 운영 여부	성현	2026-10-20	LOW	대기	ⅩⅢ 지역 상생 계획 항목. 인허가·위생 요건이 추가로 붙는지 확인 후 결정
2026-09-14 09:00	[결정]	개장 초기 마케팅 예산 규모 확정	성현	2026-10-10	MEDIUM	대기	비수기 일평균 24명이 사업의 사활이라 초기 유입 비용을 어디까지 쓸지 선을 정해야 함
2026-09-14 09:00	[할일]	연간사용료 47,300,000원(VAT 포함) 일시납	성현	2026-09-22	HIGH	대기	계약일 + 14일 이내. 연 1회 일시납이라 그 달 현금흐름에 큰 구멍 — 납부 후 잔액 재확인 필요
2026-09-14 09:00	[할일]	유원시설업 등록 신청	성현	2026-09-25	HIGH	진행	계약 후 즉시 진행 항목. 개장 전 필수 인허가
2026-09-14 09:00	[할일]	다중이용업소 신고	성현	2026-09-25	HIGH	대기	유원시설업 등록과 병행. 소방 관련 요건이 함께 걸림
2026-09-14 09:00	[할일]	영업배상책임보험·화재보험 가입 완료	성현	2026-09-30	HIGH	대기	Ⅸ 안전 최우선 과제 1번. 가입증서 사본 보관 및 군 제출본 준비
2026-09-14 09:00	[할일]	봉화군 합동 시운전·안전점검 일정 협의	성현	2026-10-20	HIGH	대기	계약체결일 + 30일 이내 조항. 군청 담당자와 날짜부터 잡을 것
2026-09-14 09:00	[할일]	관리책임자 지정 서류 정리 (계약서 제8조)	성현	2026-09-30	MEDIUM	대기	안전·인허가·대외업무 최종 책임자는 사업주 본인
2026-09-14 09:00	[할일]	채용 공고 게시 (봉화·안동·영주권)	성현	2026-09-20	HIGH	진행	군민 우선채용 고려하되 전문인력 풀이 좁아 채용 반경을 인근 시군까지 확대
2026-09-14 09:00	[할일]	근로계약서 및 보상 부속합의서 초안 작성	성현	2026-10-05	MEDIUM	대기	지분 부여가 불가능한 개인사업자 구조라 경제적 실질을 부속합의로 구성하기로 한 건
2026-09-14 09:00	[할일]	짚코스터 하네스 일일점검 체크리스트 작성	주성	2026-10-05	HIGH	대기	제조사 매뉴얼 기준으로 작성. 점검일지는 작성·비치가 계약 의무
2026-09-14 09:00	[할일]	네트어드벤처 그물·결속부 전수 점검	주성	2026-10-10	HIGH	대기	개장 전 1회 전수 점검 후 주기 점검으로 전환
2026-09-14 09:00	[할일]	시설물 점검일지 양식 제작 및 현장 비치	주성	2026-10-10	HIGH	대기	특약상 점검일지 작성·비치 의무. 양식이 있어야 매일 쓰게 됨
2026-09-14 09:00	[할일]	소방기구 확보 및 화재예방대책 수립	주성	2026-10-15	HIGH	대기	Ⅸ 안전 과제 4번. 다중이용업소 신고 요건과도 연결됨
2026-09-14 09:00	[할일]	비상대피계획 수립 및 대피 동선 표시	주성	2026-10-20	HIGH	대기	실내 657.79㎡ + 짚코스터 구간 기준. 도면에 동선 표기
2026-09-14 09:00	[할일]	긴급연락체계 구축 (소방서·경찰서·병원)	주성	2026-10-20	HIGH	대기	사고 시 찾아볼 시간이 없으므로 인쇄해 매표소·현장에 비치
2026-09-14 09:00	[할일]	안전요원 안전교육 이수 및 기록 보관	주성	2026-11-05	HIGH	대기	채용 확정 후 개장 전까지 완료. 교육 이수증 사본 보관
2026-09-14 09:00	[할일]	사고 대응 매뉴얼 작성 및 모의훈련 1회	주성	2026-11-07	HIGH	대기	유사 짚라인 시설의 아동 추락 사망 사례가 확인된 만큼 형식적 문서로 두지 않기
2026-09-14 09:00	[할일]	전기·설비 이상 유무 점검 및 군 협의 목록 정리	주성	2026-10-25	MEDIUM	대기	골조·전기·배관 등 근본 수리는 봉화군과 협의 사항 — 경계선을 문서로 남길 것
2026-09-14 09:00	[할일]	개장 전 전 기구 시운전 리허설	주성	2026-11-07	HIGH	대기	합동 안전점검과 별개로 내부 리허설 1회
2026-09-14 09:00	[할일]	매표 POS·키오스크 발주 및 설치	지연	2026-10-15	HIGH	대기	대표 결정(렌탈/구매) 확정 후 즉시 발주. 설치·테스트까지 개장 2주 전 완료 목표
2026-09-14 09:00	[할일]	카드단말기 개설 및 현금영수증 발급 설정	지연	2026-10-20	HIGH	대기	사업자등록·계좌 정보 필요
2026-09-14 09:00	[할일]	인근 놀이시설 요금 시장조사 (안동·영주·대구권)	지연	2026-09-25	HIGH	진행	요금표 확정의 근거자료. 특약상 시장가격 준수 요건도 이 조사로 설명 가능
2026-09-14 09:00	[할일]	네이버 플레이스 등록 및 기본 정보 입력	지연	2026-10-25	HIGH	대기	운영시간·요금 확정 후. 검색 노출까지 시간이 걸리므로 개장 3주 전 착수
2026-09-14 09:00	[할일]	인스타그램·블로그 계정 개설 및 개장 예고 콘텐츠	지연	2026-10-10	MEDIUM	대기	개장 전 팔로워 확보 기간이 필요함
2026-09-14 09:00	[할일]	안동·영주 맘카페 홍보 계획 수립	지연	2026-10-20	MEDIUM	대기	광역 상권(경북 북부 약 28만 명)의 핵심 채널
2026-09-14 09:00	[할일]	락커룸·수유실·매표소 집기 구매 목록 작성	지연	2026-10-05	MEDIUM	대기	예산 확정 전 목록과 견적부터
2026-09-14 09:00	[할일]	정기 청소·방역 업체 계약	지연	2026-10-30	MEDIUM	대기	정기 청소·방역은 계약상 사용자 부담 관리 항목
2026-09-14 09:00	[할일]	개장일 이벤트·현수막 준비	지연	2026-11-05	MEDIUM	대기	개장일 확정 후 진행
2026-09-14 09:00	[공유]	낙찰 확정 — 낙찰금액 43,000,000원 (VAT 별도)	공통	미정	HIGH	완료	2026.8.25 낙찰. 사용허가기간은 계약체결일로부터 5년, 범위 내 연장 신청 가능
2026-09-14 09:00	[공유]	시설 규모 — 토지 6,223㎡ / 건물 1,221.99㎡ (실내 657.79㎡)	공통	미정	LOW	완료	짚코스터(13m·150m), 네트어드벤처, 실내놀이시설. 도비 15억 + 군비 25억 투입 시설
2026-09-14 09:00	[공유]	손익분기 기준 — 연 17,442명 (객단가 12,000원 가정)	공통	미정	HIGH	완료	연간 고정비 209,300,000원 기준. 비수기 일평균 24명 / 성수기 116명 목표
2026-09-14 09:00	[공유]	특약 제5조 — 공익상 필요시 군의 요금 제한 가능	성현	미정	MEDIUM	완료	요금 인상 시 사전 협의 절차를 운영계획에 명문화해 관계를 관리하기로 함
2026-09-14 09:00	[공유]	특약 제12조 — 민원 발생 시 3일 이내 서면 통보 의무	성현	미정	HIGH	완료	기한을 놓치면 계약 위반. 민원 접수 즉시 날짜를 기록할 것
2026-09-14 09:00	[공유]	직영 운영 원칙 — 재위탁·전대 불가	공통	미정	MEDIUM	완료	계약조건상 신청인이 직접 운영·관리해야 함
2026-09-14 09:00	[공유]	유사 짚라인 시설 아동 추락 사망 사고 사례 확인	주성	미정	HIGH	완료	리서치 중 확인. 안전요원 배치·교육을 비용절감 대상에서 제외하기로 한 근거
2026-09-14 09:00	[공유]	봉화은어축제 — 매년 7월 말~8월 초, 9일간 약 24만 명	지연	미정	MEDIUM	완료	본 시설과 같은 봉화읍 내성천 일원. 2027년 축제가 첫 성수기가 됨
2026-09-14 09:00	[아이디어]	동절기 눈썰매 연계 패키지 구성	지연	미정	LOW	검토	12월 회의 안건으로 이첩. 개장 직후 비수기를 넘길 카드
2026-09-14 09:00	[아이디어]	2027 은어축제 연계 프로그램 (축제관광재단 협력)	지연	미정	MEDIUM	검토	기 검증된 가족 단위 트래픽 24만 명을 흡수할 최대 기회
2026-09-14 09:00	[아이디어]	시즌권·가족 패키지 등 유연한 가격상품	성현	미정	LOW	검토	봉화 계약서에는 고정 요금표 규정이 없어 설계 여지가 큼
2026-09-14 09:00	[아이디어]	평일 유치원·어린이집 단체 영업	성현	미정	MEDIUM	검토	평일 비수기를 채우는 사실상 유일한 수단
2026-09-14 09:00	[아이디어]	분천산타마을·청량산 연계 상품 및 숙소 제휴	지연	미정	LOW	검토	별개 권역이라 '바로 옆'처럼 홍보하지 말고 코스 상품으로 묶는 형태로 검토
2026-09-14 09:00	[아이디어]	우천·미세먼지 시즌 실내 강점 마케팅	지연	미정	LOW	검토	날씨와 무관한 실내 시설이라는 점이 이 지역에서 드문 강점
